,Incident Number w/year,Watch,Type of Incident,incident_type,Type  Location,Division,Council District,Year of Incident,Month1 of Occurence,Day1 of the Week,NIBRS Crime Category,severity,NIBRS Crime Against,Zip Code,x,y
2179,010131-2023,1,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75209,32.82678,-96.8227
2180,014328-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.8575,-96.87301
2181,051414-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,NORTHWEST,13,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.89522,-96.88109
2182,043537-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Commercial Property Occupied/Vacant,NORTHWEST,2,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.81139,-96.82256
2183,051411-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,NORTHWEST,2,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.83352,-96.83704
2184,073260-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Other,NORTHWEST,2,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.836197011,-96.85874503
2185,051718-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86813,-96.90417
2186,048965-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Mon,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86896,-96.91466
2187,059122-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,14,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.81076,-96.81091
2188,059254-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,NORTHWEST,2,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80852,-96.833
2189,064767-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,2,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.80741,-96.81572
2190,059197-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.82624,-96.84769
2191,068499-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.8614,-96.89446
2192,063837-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86902,-96.89512
2193,072863-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.80163,-96.83338
2194,066074-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88394,-96.8787
2195,063541-2023,1,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Parking (Business),NORTHWEST,6,2023,April,Sat,ROBBERY,4,PROPERTY,75229,32.88228,-96.89661
2196,073268-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75241,32.65251565,-96.760655464
2197,072561-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.80163,-96.83338
2198,054762-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.89297,-96.90265
2199,064887-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88517,-96.8881
2200,000241-2023,1,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,December,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.87756,-96.89681
2201,000511-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,December,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.89251,-96.88299
2202,033722-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,14,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.81348,-96.80898
2203,019697-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85692,-96.87229
2204,024035-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.8348,-96.86876
2205,028901-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80602,-96.82929
2206,033847-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86902,-96.89512
2207,020081-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.90378,-96.89443
2208,025241-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86427,-96.90343
2209,024566-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86902,-96.89512
2210,020304-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86902,-96.89512
2211,032681-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,February,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.79715,-96.82586
2212,009234-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,2,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.82901,-96.87223
2213,008705-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.7905,-96.82017
2214,009024-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.87724,-96.87186
2215,004472-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,January,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86196,-96.89801
2217,065494-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,13,2023,March,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85514,-96.8796
2218,804166-2023,1,CRIMINAL MISCHIEF > OR EQUAL $30K<$150K,CRIM MISCHIEF,Business Office,NORTHWEST,6,2023,March,Sat,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,13,PROPERTY,75229,32.90061,-96.89906
2219,045754-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,NORTHWEST,6,2023,March,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88152,-96.89636
2220,046384-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,NORTHWEST,6,2023,March,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.87108,-96.89372
2221,050174-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86259,-96.89713
2222,033785-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,November,Sat,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.868,-96.88855
2223,055379-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,2,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80602,-96.82929
2224,055317-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75209,32.83841,-96.83224
2225,068880-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.82129,-96.88808
2226,069246-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Other,NORTHWEST,6,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86739,-96.90678
2227,069772-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.79678,-96.83217
2228,064057-2023,1,ROBBERY OF INDIVIDUAL (AGG),ROBBERY,Parking (Business),NORTHWEST,6,2023,April,Sun,ROBBERY,4,PROPERTY,75220,32.85836,-96.89432
2229,034576-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Outdoor Area Public/Private,NORTHWEST,13,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.9092,-96.86014
2230,021152-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.81585,-96.86702
2231,028851-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Commercial Property Occupied/Vacant,NORTHWEST,6,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88177,-96.89224
2232,031234-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86337,-96.89378
2233,024770-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,February,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.87756,-96.89681
2234,000989-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80602,-96.82929
2235,000952-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.81585,-96.86702
2236,018935-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.82901,-96.87223
2237,005005-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.80679,-96.82014
2238,009340-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.80524,-96.82319
2239,008589-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Entertainment/Sports Venue,NORTHWEST,6,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86663,-96.90851
2240,006763-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,January,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.90148,-96.89401
2241,051693-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,13,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.90872,-96.86063
2242,050892-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Convenience Store,NORTHWEST,13,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.90902,-96.87801
2243,051038-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Other,NORTHWEST,2,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.83255,-96.85149
2244,042235-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Bar/NightClub/DanceHall ETC.,NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85881,-96.88244
2245,038279-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88393,-96.897
2246,047134-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86321,-96.9003
2247,037802-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86177,-96.88143
2248,053437-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Commercial Property Occupied/Vacant,NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88757,-96.89583
2249,037767-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86259,-96.89713
2250,042918-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75234,32.90983,-96.89507
2251,051004-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Sun,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.8649,-96.90139
2252,062194-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Gas or Service Station,NORTHWEST,2,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86628,-96.86414
2253,071208-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.82306,-96.86845
2254,063204-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Shelter - Mission/Homeless,NORTHWEST,2,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.81274,-96.83819
2255,067369-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86337,-96.89379
2256,062877-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.80911,-96.84818
2257,066705-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.80819,-96.88769
2258,003234-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,December,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.89361,-96.91793
2259,022763-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,February,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.874001579,-96.858613127
2260,010107-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,13,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86219,-96.85067
2261,007522-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,13,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75225,32.86361,-96.80973
2262,010950-2023,1,BURGLARY OF BUILDING - FORCED ENTRY,BURGLARY,Hotel/Motel/ETC,NORTHWEST,2,2023,January,Thu,BURGLARY/ BREAKING & ENTERING,8,PROPERTY,75247,32.83681,-96.87383
2263,003256-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,2,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.82624,-96.84769
2264,007418-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,2,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80602,-96.82929
2265,006696-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85802,-96.8707
2266,015855-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Rental Storage Facility,NORTHWEST,2,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86079,-96.86381
2267,016035-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.89581,-96.90205
2268,007400-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,January,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86995,-96.87422
2269,040389-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,2,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75235,32.80602,-96.82929
2270,053371-2023,1,THEFT OF PROP > OR EQUAL $150K <$300K (NOT SHOPLIFT) PC31.03(e6A),THEFT,Parking (Business),NORTHWEST,6,2023,March,Thu,LARCENY/ THEFT OFFENSES,9,PROPERTY,75220,32.87069,-96.90782
2271,049586-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Auto Dealership New/Used,NORTHWEST,6,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.85217,-96.87885
2272,045306-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.8083,-96.84463
2273,045280-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,March,Thu,MOTOR VEHICLE THEFT,10,PROPERTY,75229,32.88296,-96.89669
2274,071089-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.80797,-96.84455
2275,061027-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75247,32.80574,-96.88999
2276,057351-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Parking Lot (All Others),NORTHWEST,6,2023,April,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.87,-96.90519
2278,065258-2023,1,ROBBERY OF BUSINESS,ROBBERY,Specialty Store (In a Specific Item),NORTHWEST,6,2023,April,Tue,ROBBERY,4,PROPERTY,75220,32.86617,-96.86552
2279,803657-2023,1,"THEFT OF PROP > OR EQUAL $2,500 <$30K (NOT SHOPLIFT) PC31.03(e4A)",THEFT,Commercial Property Occupied/Vacant,NORTHWEST,2,2023,December,Tue,LARCENY/ THEFT OFFENSES,9,PROPERTY,75235,32.81959,-96.83853
2280,071599-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,Hotel/Motel/ETC,NORTHWEST,6,2023,December,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86695,-96.90881
2281,026510-2023,1,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,14,2023,February,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75219,32.81879,-96.81172
2282,025143-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,"Highway, Street, Alley ETC",NORTHWEST,6,2023,February,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75220,32.86728,-96.87662
2283,030579-2023,1,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,UNAUTHORIZED USE OF MOTOR VEH,Parking (Business),NORTHWEST,6,2023,February,Tue,MOTOR VEHICLE THEFT,10,PROPERTY,75207,32.80446,-96.84446
